trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.2, 'e': 0.40068465295154065}",25,7,-66.71766847386222,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.2, 'e': 0.39667780642202527}",20,0,-82.0588555714475,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
93,False,"{'a': 0.2, 'e': 0.392711028357805}",20,0,-51.248992305756005,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
94,False,"{'a': 0.2, 'e': 0.38878391807422696}",30,13,-25.51844235888414,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.3848960788934847}",25,20,9.948059166311998,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.38104711810454983}",25,0,-149.43176916387566,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
97,False,"{'a': 0.2, 'e': 0.37723664692350434}",35,19,-15.34747207097566,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.2, 'e': 0.37346428045426927}",30,0,-55.06845648281367,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.2, 'e': 0.36972963764972655}",25,15,-5.473973475324325,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.2, 'e': 0.36603234127322926}",30,1,-29.56683812193621,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.2, 'e': 0.36237201786049694}",20,0,10.754929807539812,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.2, 'e': 0.358748297681892}",30,21,-0.7873550657596691,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.35516081470507305}",20,10,-6.167984919342595,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.3516092065580223}",30,15,19.69362969732298,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.2, 'e': 0.34809311449244207}",20,12,14.990181514176365,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.34461218334751764}",20,6,-20.509311309739132,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.2, 'e': 0.34116606151404244}",20,0,17.58096725908908,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.337754400898902}",20,12,2.3957362141298395,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.334376856889913}",20,11,5.78948193453844,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.33103308832101386}",30,3,23.849459551483225,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.3277227574378037}",20,9,17.70555176207041,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.3244455298634257}",20,8,-15.45631023198515,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.3212010745647914}",25,0,-16.030755163399373,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.2, 'e': 0.3179890638191435}",20,12,18.784511875246736,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.31480917318095203}",20,0,-121.32209880526773,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
116,False,"{'a': 0.2, 'e': 0.3116610814491425}",20,10,18.206073919565135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.30854447063465107}",20,6,-1.992896576538055,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.30545902592830454}",25,15,15.047746304154144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.2, 'e': 0.3024044356690215}",25,6,15.392223180885066,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.29938039131233124}",25,14,-71.39384597211274,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
121,False,"{'a': 0.2, 'e': 0.2963865873992079}",25,14,18.813045508898053,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.29342272152521587}",25,20,9.986748627221182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.2904884943099637}",20,16,8.738549751518299,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.28758360936686406}",30,18,-12.84356409867043,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.2847077732731954}",25,7,12.60637208148046,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.28186069554046345}",25,11,-29.612405292459563,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.2, 'e': 0.2790420885850588}",25,8,4.624622546892815,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.2762516676992082}",20,3,18.17648085607745,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.27348915102221616}",30,8,-23.523734862690667,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.2, 'e': 0.270754259511994}",25,4,13.575732464855331,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
